tree_ID,bloc,treatment,genus,species,Note,doy,chl1,chl2,chl3,percent,greenleafcover,lastleavesfell
Acne_CoolS/CoolF_B1_R1,1,CoolS/CoolF,acer,acer_negundo,,288,,,,,,y
Acne_CoolS/CoolF_B1_R2,1,CoolS/CoolF,acer,acer_negundo,,288,,,,,,y
Acne_CoolS/CoolF_B1_R3,1,CoolS/CoolF,acer,acer_negundo,,288,,,,,,y
Acne_CoolS/CoolF_B1_R4,1,CoolS/CoolF,acer,acer_negundo,,288,,,,,,y
Acne_CoolS/CoolF_B1_R5,1,CoolS/CoolF,acer,acer_negundo,,288,,,,,y,
Acne_CoolS/CoolF_B2_R6,2,CoolS/CoolF,acer,acer_negundo,,288,3.8,6.3,13.1,5,,
Acne_CoolS/CoolF_B2_R7,2,CoolS/CoolF,acer,acer_negundo,,288,,,,,,y
Acne_CoolS/CoolF_B2_R8,2,CoolS/CoolF,acer,acer_negundo,,288,,,,,,y
Acne_CoolS/CoolF_B2_R9,2,CoolS/CoolF,acer,acer_negundo,,288,,,,,,y
Acne_CoolS/CoolF_B2_R10,2,CoolS/CoolF,acer,acer_negundo,,288,5.3,6,7.7,5,,
Acne_CoolS/CoolF_B3_R11,3,CoolS/CoolF,acer,acer_negundo,,288,,,,,y,y
Acne_CoolS/CoolF_B3_R12,3,CoolS/CoolF,acer,acer_negundo,,288,,,,,,y
Acne_CoolS/CoolF_B3_R13,3,CoolS/CoolF,acer,acer_negundo,,288,,,,,,y
Acne_CoolS/CoolF_B3_R14,3,CoolS/CoolF,acer,acer_negundo,,288,,,,,,y
Acne_CoolS/CoolF_B3_R15,3,CoolS/CoolF,acer,acer_negundo,,288,,,,,,y
Acne_CoolS/CoolF_B1_R1_nitro,1,CoolS/CoolF_nitro,acer,acer_negundo,,288,11.5,17.6,20.7,5,,
Acne_CoolS/CoolF_B1_R2_nitro,1,CoolS/CoolF_nitro,acer,acer_negundo,,288,,,,,,y
Acne_CoolS/CoolF_B1_R3_nitro,1,CoolS/CoolF_nitro,acer,acer_negundo,,288,,,,5,,y
Acne_CoolS/CoolF_B1_R4_nitro,1,CoolS/CoolF_nitro,acer,acer_negundo,,288,,,,,,y
Acne_CoolS/CoolF_B1_R5_nitro,1,CoolS/CoolF_nitro,acer,acer_negundo,,288,,,,,,y
Acne_CoolS/CoolF_B2_R6_nitro,2,CoolS/CoolF_nitro,acer,acer_negundo,,288,,,,,,y
Acne_CoolS/CoolF_B2_R7_nitro,2,CoolS/CoolF_nitro,acer,acer_negundo,,288,,,,,na,y
Acne_CoolS/CoolF_B2_R8_nitro,2,CoolS/CoolF_nitro,acer,acer_negundo,,288,,,,,,y
Acne_CoolS/CoolF_B2_R9_nitro,2,CoolS/CoolF_nitro,acer,acer_negundo,,288,,,,,,y
Acne_CoolS/CoolF_B2_R10_nitro,2,CoolS/CoolF_nitro,acer,acer_negundo,,288,,,,,,y
Acne_CoolS/CoolF_B3_R11_nitro,3,CoolS/CoolF_nitro,acer,acer_negundo,,288,6.5,6.1,9,10,,
Acne_CoolS/CoolF_B3_R12_nitro,3,CoolS/CoolF_nitro,acer,acer_negundo,,288,24.6,26.3,28.7,5,,
Acne_CoolS/CoolF_B3_R13_nitro,3,CoolS/CoolF_nitro,acer,acer_negundo,,288,,,,,,y
Acne_CoolS/CoolF_B3_R14_nitro,3,CoolS/CoolF_nitro,acer,acer_negundo,,288,,,,,,y
Acne_CoolS/CoolF_B3_R15_nitro,3,CoolS/CoolF_nitro,acer,acer_negundo,,288,,,,,,y
Acne_CoolS/WarmF_B1_R1,1,CoolS/WarmF,acer,acer_negundo,,288,,,,,,y
